key,name,category,type,vendorLine,shortDesc,longDesc,icon,docsUrl,listPrice,priceUnit,addonForKey,features
sentrywall-3200,SentryWall 3200,Firewall,hardware,SentryWall,Mid-size branch firewall appliance with integrated SD-WAN,"The SentryWall 3200 is a 1U branch-office firewall appliance combining stateful inspection, intrusion prevention, and integrated SD-WAN routing. Designed for distributed sites with up to 500 users, it delivers 4.5 Gbps of inspected throughput and supports zero-touch provisioning via SentryWall Central Manager.",bi-hdd-network-fill,#docs/sentrywall-3200,9200,one-time / device,,Stateful inspection & intrusion prevention|Integrated SD-WAN routing|Zero-touch provisioning|4.5 Gbps inspected throughput
sentrywall-7400,SentryWall 7400,Firewall,hardware,SentryWall,High-throughput data center firewall appliance,"The SentryWall 7400 is a high-density data center firewall appliance delivering 40 Gbps of inspected throughput with hardware-accelerated TLS decryption. Built for campus cores and data center edges, it supports active-active clustering and VXLAN-aware segmentation.",bi-server,#docs/sentrywall-7400,26500,one-time / device,,Hardware-accelerated TLS decryption|Active-active clustering|VXLAN-aware segmentation|40 Gbps inspected throughput
sentrywall-virtual,SentryWall Virtual Edition,Firewall,software,SentryWall,Virtual firewall image for private and public cloud,"SentryWall Virtual Edition packages the full SentryWall inspection engine as a virtual appliance for VMware, KVM, AWS, Azure, and GCP. Supports auto-scaling groups and infrastructure-as-code deployment via the SentryWall Terraform provider.",bi-cloud-fill,#docs/sentrywall-virtual,3400,one-time / instance,,Multi-cloud deployment (AWS/Azure/GCP/VMware/KVM)|Auto-scaling group support|Terraform provider|Same inspection engine as hardware
sentrywall-manager,SentryWall Central Manager,Firewall,software,SentryWall,Centralized policy and logging console for SentryWall fleets,"SentryWall Central Manager is a self-hosted console for centralized policy authoring, firmware rollout, and log aggregation across an entire fleet of SentryWall appliances and virtual instances, with role-based change approval workflows.",bi-sliders,#docs/sentrywall-manager,6500,one-time / instance,,Centralized policy authoring|Fleet-wide firmware rollout|Log aggregation|Role-based change approval workflows
aegis-endpoint,Aegis Endpoint Protection,Endpoint & XDR,subscription,Aegis,Per-seat next-gen antivirus and behavioral endpoint protection,"Aegis Endpoint Protection combines signature-based antivirus, machine-learning malware detection, and behavioral ransomware protection in a single lightweight agent for Windows, macOS, and Linux endpoints, with cloud-managed policy and one-click rollback.",bi-shield-fill-check,#docs/aegis-endpoint,46,per seat / year,,Real-time threat detection|Ransomware rollback & remediation|Behavioral ML malware detection|Cross-platform agent (Windows/macOS/Linux)|Cloud-managed policy
aegis-mobile,Aegis Mobile Agent,Endpoint & XDR,software,Aegis,iOS and Android mobile threat defense agent,"Aegis Mobile Agent extends endpoint protection to iOS and Android devices, detecting jailbreak/root status, malicious profiles, and network-based phishing attempts, with MDM-integrated enrollment for corporate device fleets.",bi-phone-fill,#docs/aegis-mobile,6,one-time / device,,Jailbreak & root detection|Malicious profile detection|Network-based phishing protection|MDM-integrated enrollment
argus-xdr,Argus XDR,Endpoint & XDR,subscription,Argus,"Extended detection and response platform correlating endpoint, network, and cloud telemetry","Argus XDR correlates telemetry from endpoints, network sensors, and cloud workloads into a unified detection timeline, using behavioral analytics and threat intelligence enrichment to surface high-confidence incidents and automate containment playbooks.",bi-radar,#docs/argus-xdr,45,per seat / year,,Cross-telemetry correlation (endpoint/network/cloud)|Automated containment playbooks|Threat intelligence enrichment|Unified detection timeline
argus-forensics,Argus XDR Forensics Add-on,Endpoint & XDR,subscription,Argus,Deep forensic timeline reconstruction and threat hunting workbench add-on for Argus XDR,"The Forensics Add-on unlocks full historical telemetry retention, process-tree timeline reconstruction, and a guided threat-hunting workbench on top of Argus XDR, intended for dedicated SOC and incident response teams.",bi-search,#docs/argus-forensics,8500,per account / year,argus-xdr,Full historical telemetry retention|Process-tree timeline reconstruction|Guided threat-hunting workbench
meridian-sase,Meridian SASE,SASE,subscription,Meridian,"Secure access service edge combining SWG, CASB, and ZTNA","Meridian SASE unifies secure web gateway, cloud access security broker, and zero-trust network access into a single cloud-delivered service, enforcing consistent policy for remote and office users without backhauling traffic through a data center.",bi-globe2,#docs/meridian-sase,25,per seat / year,,Secure web gateway|Cloud access security broker (CASB)|Zero-trust network access (ZTNA)|No backhaul required
meridian-client,Meridian Remote Access Client,SASE,software,Meridian,Downloadable client for Meridian SASE secure remote access,"The Meridian Remote Access Client establishes a lightweight, always-on secure tunnel to the nearest Meridian SASE point of presence, with posture checks that gate access based on device compliance before granting application access.",bi-laptop,#docs/meridian-client,0,included,,Always-on secure tunnel|Automatic point-of-presence failover|Device posture checks
