id,productKey,weekStart,value
usage-0001,sentrywall-3200,2026-06-22,2.9
usage-0002,sentrywall-3200,2026-06-29,2.7
usage-0003,sentrywall-3200,2026-07-06,2.9
usage-0004,sentrywall-3200,2026-07-13,2.9
usage-0005,sentrywall-3200,2026-07-20,3.1
usage-0006,sentrywall-3200,2026-07-27,3.1
usage-0007,sentrywall-3200,2026-08-03,3.2
usage-0008,sentrywall-3200,2026-08-10,3.2
usage-0009,sentrywall-7400,2026-06-22,24.6
usage-0010,sentrywall-7400,2026-06-29,25.8
usage-0011,sentrywall-7400,2026-07-06,25.4
usage-0012,sentrywall-7400,2026-07-13,26.4
usage-0013,sentrywall-7400,2026-07-20,27.5
usage-0014,sentrywall-7400,2026-07-27,26.9
usage-0015,sentrywall-7400,2026-08-03,27.8
usage-0016,sentrywall-7400,2026-08-10,29.0
usage-0017,sentrywall-virtual,2026-06-22,1.2
usage-0018,sentrywall-virtual,2026-06-29,1.2
usage-0019,sentrywall-virtual,2026-07-06,1.2
usage-0020,sentrywall-virtual,2026-07-13,1.2
usage-0021,sentrywall-virtual,2026-07-20,1.3
usage-0022,sentrywall-virtual,2026-07-27,1.2
usage-0023,sentrywall-virtual,2026-08-03,1.3
usage-0024,sentrywall-virtual,2026-08-10,1.3
usage-0025,sentrywall-manager,2026-06-22,8
usage-0026,sentrywall-manager,2026-06-29,8
usage-0027,sentrywall-manager,2026-07-06,8
usage-0028,sentrywall-manager,2026-07-13,9
usage-0029,sentrywall-manager,2026-07-20,8
usage-0030,sentrywall-manager,2026-07-27,7
usage-0031,sentrywall-manager,2026-08-03,7
usage-0032,sentrywall-manager,2026-08-10,8
usage-0033,aegis-endpoint,2026-06-22,218
usage-0034,aegis-endpoint,2026-06-29,225
usage-0035,aegis-endpoint,2026-07-06,235
usage-0036,aegis-endpoint,2026-07-13,243
usage-0037,aegis-endpoint,2026-07-20,250
usage-0038,aegis-endpoint,2026-07-27,263
usage-0039,aegis-endpoint,2026-08-03,266
usage-0040,aegis-endpoint,2026-08-10,276
usage-0041,aegis-mobile,2026-06-22,155
usage-0042,aegis-mobile,2026-06-29,163
usage-0043,aegis-mobile,2026-07-06,168
usage-0044,aegis-mobile,2026-07-13,175
usage-0045,aegis-mobile,2026-07-20,180
usage-0046,aegis-mobile,2026-07-27,187
usage-0047,aegis-mobile,2026-08-03,189
usage-0048,aegis-mobile,2026-08-10,198
usage-0049,argus-xdr,2026-06-22,499
usage-0050,argus-xdr,2026-06-29,550
usage-0051,argus-xdr,2026-07-06,578
usage-0052,argus-xdr,2026-07-13,637
usage-0053,argus-xdr,2026-07-20,671
usage-0054,argus-xdr,2026-07-27,732
usage-0055,argus-xdr,2026-08-03,808
usage-0056,argus-xdr,2026-08-10,842
usage-0057,argus-forensics,2026-06-22,33
usage-0058,argus-forensics,2026-06-29,33
usage-0059,argus-forensics,2026-07-06,32
usage-0060,argus-forensics,2026-07-13,33
usage-0061,argus-forensics,2026-07-20,36
usage-0062,argus-forensics,2026-07-27,35
usage-0063,argus-forensics,2026-08-03,35
usage-0064,argus-forensics,2026-08-10,34
usage-0065,meridian-sase,2026-06-22,309
usage-0066,meridian-sase,2026-06-29,328
usage-0067,meridian-sase,2026-07-06,334
usage-0068,meridian-sase,2026-07-13,349
usage-0069,meridian-sase,2026-07-20,369
usage-0070,meridian-sase,2026-07-27,377
usage-0071,meridian-sase,2026-08-03,389
usage-0072,meridian-sase,2026-08-10,401
usage-0073,meridian-client,2026-06-22,399
usage-0074,meridian-client,2026-06-29,409
usage-0075,meridian-client,2026-07-06,405
usage-0076,meridian-client,2026-07-13,371
usage-0077,meridian-client,2026-07-20,359
usage-0078,meridian-client,2026-07-27,377
usage-0079,meridian-client,2026-08-03,374
usage-0080,meridian-client,2026-08-10,388
usage-0081,bastion-siem,2026-06-22,38
usage-0082,bastion-siem,2026-06-29,46
usage-0083,bastion-siem,2026-07-06,49
usage-0084,bastion-siem,2026-07-13,49
usage-0085,bastion-siem,2026-07-20,55
usage-0086,bastion-siem,2026-07-27,56
usage-0087,bastion-siem,2026-08-03,63
usage-0088,bastion-siem,2026-08-10,64
usage-0089,sentinel-mail,2026-06-22,11332
usage-0090,sentinel-mail,2026-06-29,11974
usage-0091,sentinel-mail,2026-07-06,12940
usage-0092,sentinel-mail,2026-07-13,14517
usage-0093,sentinel-mail,2026-07-20,14967
usage-0094,sentinel-mail,2026-07-27,16558
usage-0095,sentinel-mail,2026-08-03,18133
usage-0096,sentinel-mail,2026-08-10,18400
usage-0097,sentinel-archive,2026-06-22,10918
usage-0098,sentinel-archive,2026-06-29,11567
usage-0099,sentinel-archive,2026-07-06,13932
usage-0100,sentinel-archive,2026-07-13,14030
usage-0101,sentinel-archive,2026-07-20,14253
usage-0102,sentinel-archive,2026-07-27,15146
usage-0103,sentinel-archive,2026-08-03,16230
usage-0104,sentinel-archive,2026-08-10,17900
usage-0105,cloudwarden-cspm,2026-06-22,785
usage-0106,cloudwarden-cspm,2026-06-29,872
usage-0107,cloudwarden-cspm,2026-07-06,894
usage-0108,cloudwarden-cspm,2026-07-13,917
usage-0109,cloudwarden-cspm,2026-07-20,1023
usage-0110,cloudwarden-cspm,2026-07-27,1167
usage-0111,cloudwarden-cspm,2026-08-03,1176
usage-0112,cloudwarden-cspm,2026-08-10,1240
usage-0113,irongate-vpn500,2026-06-22,5873
usage-0114,irongate-vpn500,2026-06-29,5926
usage-0115,irongate-vpn500,2026-07-06,5601
usage-0116,irongate-vpn500,2026-07-13,6074
usage-0117,irongate-vpn500,2026-07-20,6164
usage-0118,irongate-vpn500,2026-07-27,6200
usage-0119,irongate-vpn500,2026-08-03,6171
usage-0120,irongate-vpn500,2026-08-10,6400
usage-0121,vantage-feed,2026-06-22,32973
usage-0122,vantage-feed,2026-06-29,33043
usage-0123,vantage-feed,2026-07-06,37546
usage-0124,vantage-feed,2026-07-13,40468
usage-0125,vantage-feed,2026-07-20,45891
usage-0126,vantage-feed,2026-07-27,48309
usage-0127,vantage-feed,2026-08-03,47947
usage-0128,vantage-feed,2026-08-10,52000
