id,purchaseId,productKey,licenseKey,seatsTotal,seatsUsed,status,activationDate,expiryDate,supportTier
ENT-10001,ORD-2022-0031,sentrywall-3200,SNTW-3200-8K2L-99QX-VVR1,2,2,active,2022-03-20,2027-03-20,Standard
ENT-10002,ORD-2023-0044,sentrywall-7400,SNTW-7400-4M1P-22ZK-QQ08,1,1,active,2023-06-10,2028-06-10,Premium
ENT-10003,ORD-2023-0045,sentrywall-virtual,SNTW-VIRT-7Q2K-88LX-9PQ2,4,3,active,2023-06-10,2028-06-10,Standard
ENT-10004,ORD-2022-0032,sentrywall-manager,SNTW-MGR-1A9B-33CD-77EF,1,1,active,2022-03-20,2027-03-20,Standard
ENT-10005,ORD-2025-0088,aegis-endpoint,AEGIS-EPP-5F3K-11QW-2026,300,276,expiring,2025-09-05,2026-09-01,Premium
ENT-10006,ORD-2024-0062,aegis-mobile,AEGIS-MOB-9K2L-44RT-8801,250,198,active,2024-09-05,2029-09-05,Standard
ENT-10007,ORD-2025-0095,argus-xdr,ARGUS-XDR-3P7Q-55TY-9012,600,542,active,2025-11-15,2026-11-10,Platinum
ENT-10008,ORD-2025-0096,argus-forensics,ARGUS-FOR-6H2J-88UI-4455,5,4,active,2025-11-15,2026-11-10,Platinum
ENT-10009,ORD-2026-0104,meridian-sase,MRDN-SASE-2C9V-77BN-3344,450,401,active,2026-05-25,2027-05-20,Premium
ENT-10010,ORD-2024-0076,meridian-client,MRDN-CLI-4X8Z-11MK-5566,450,401,active,2024-05-25,2029-05-25,Standard
ENT-10011,ORD-2023-0055,bastion-siem,BSTN-SIEM-8Y3W-66LO-7788,2,2,active,2023-02-25,2028-02-25,Standard
ENT-10012,ORD-2025-0105,sentinel-mail,SNTL-MAIL-9D5F-22PQ-6600,320,289,active,2025-12-10,2026-12-05,Premium
ENT-10013,ORD-2025-0106,sentinel-archive,SNTL-ARCH-1G6H-33RS-1122,320,289,active,2025-12-10,2026-12-05,Premium
ENT-10014,ORD-2025-0110,cloudwarden-cspm,CLDW-CSPM-7J4K-99TU-3300,1,1,expiring,2025-08-28,2026-08-22,Platinum
ENT-10015,ORD-2022-0035,irongate-vpn500,IRGT-VPN5-5L2M-44WX-8899,3,3,active,2022-08-05,2027-08-05,Standard
ENT-10016,ORD-2026-0112,vantage-feed,VNTG-FEED-3N7P-66YZ-1200,1,1,active,2026-01-20,2027-01-15,Premium
ENT-10017,ORD-2026-0115,sentinel-mail,SNTL-MAIL-2Q8R-55AB-4400,40,33,expiring,2026-07-25,2026-09-20,Premium
ENT-10018,ORD-2024-0061,aegis-endpoint,AEGIS-EPP-1D4E-99FG-2025,250,0,expired,2024-09-05,2025-09-01,Premium
ENT-10019,ORD-2024-0070,argus-xdr,ARGUS-XDR-8S6T-22UV-2025,500,0,expired,2024-11-15,2025-11-10,Platinum
ENT-10020,ORD-2023-0040,aegis-endpoint,AEGIS-EPP-PILOT-0X9Y-2023,50,0,suspended,2023-09-05,2024-09-01,Standard
