id,invoiceNumber,purchaseId,issueDate,dueDate,amount,status,paidDate
INV-10001,INV-2022-0031,ORD-2022-0031,2022-03-14,2022-04-13,17000,paid,2022-03-28
INV-10002,INV-2023-0044,ORD-2023-0044,2023-06-02,2023-07-02,24500,paid,2023-06-15
INV-10003,INV-2023-0045,ORD-2023-0045,2023-06-02,2023-07-02,12800,paid,2023-06-15
INV-10004,INV-2022-0032,ORD-2022-0032,2022-03-14,2022-04-13,6000,paid,2022-03-28
INV-10005,INV-2024-0061,ORD-2024-0061,2024-09-01,2024-10-01,10500,paid,2024-09-18
INV-10006,INV-2025-0088,ORD-2025-0088,2025-09-01,2025-10-01,13200,paid,2025-09-20
INV-10007,INV-2024-0062,ORD-2024-0062,2024-09-01,2024-10-01,1250,paid,2024-09-18
INV-10008,INV-2023-0050,ORD-2023-0050,2023-11-10,2023-12-10,19000,paid,2023-11-28
INV-10009,INV-2024-0070,ORD-2024-0070,2024-11-10,2024-12-10,20000,paid,2024-11-25
INV-10010,INV-2025-0095,ORD-2025-0095,2025-11-10,2025-12-10,25200,paid,2025-11-30
INV-10011,INV-2025-0096,ORD-2025-0096,2025-11-10,2025-12-10,8000,overdue,
INV-10012,INV-2024-0075,ORD-2024-0075,2024-05-20,2024-06-19,8800,paid,2024-06-02
INV-10013,INV-2025-0100,ORD-2025-0100,2025-05-20,2025-06-19,10350,paid,2025-06-03
INV-10014,INV-2026-0104,ORD-2026-0104,2026-05-20,2026-06-19,10800,paid,2026-06-01
INV-10015,INV-2024-0076,ORD-2024-0076,2024-05-20,2024-06-19,0,paid,2024-05-20
INV-10016,INV-2023-0055,ORD-2023-0055,2023-02-18,2023-03-20,8400,paid,2023-03-02
INV-10017,INV-2024-0080,ORD-2024-0080,2024-12-05,2025-01-04,5400,paid,2024-12-20
INV-10018,INV-2025-0105,ORD-2025-0105,2025-12-05,2026-01-04,6080,paid,2025-12-22
INV-10019,INV-2025-0106,ORD-2025-0106,2025-12-05,2026-01-04,1920,paid,2025-12-22
INV-10020,INV-2026-0110,ORD-2025-0110,2026-07-23,2026-08-22,15600,pending,
INV-10021,INV-2022-0035,ORD-2022-0035,2022-07-30,2022-08-29,16200,paid,2022-08-10
INV-10022,INV-2026-0112,ORD-2026-0112,2026-01-15,2026-02-14,24000,paid,2026-01-30
INV-10023,INV-2023-0040,ORD-2023-0040,2023-09-01,2023-10-01,2100,paid,2023-09-15
INV-10024,INV-2026-0115,ORD-2026-0115,2026-08-21,2026-09-20,760,pending,
