id,poNumber,productKey,orderType,qty,unitPrice,totalPrice,purchaseDate,renewalDate,billingCycle,status,orderStatus,provisioningStatus,invoiceId,orderGroupId
ORD-2022-0031,PO-CUST-00101,sentrywall-3200,hardware,2,8500,17000,2022-03-14,,one-time,active,fulfilled,complete,INV-10001,ORD-2022-0031
ORD-2023-0044,PO-CUST-00118,sentrywall-7400,hardware,1,24500,24500,2023-06-02,,one-time,active,fulfilled,complete,INV-10002,ORD-2023-0044
ORD-2023-0045,PO-CUST-00119,sentrywall-virtual,perpetual,4,3200,12800,2023-06-02,,one-time,active,fulfilled,complete,INV-10003,ORD-2023-0045
ORD-2022-0032,PO-CUST-00102,sentrywall-manager,perpetual,1,6000,6000,2022-03-14,,one-time,active,fulfilled,complete,INV-10004,ORD-2022-0032
ORD-2024-0061,PO-CUST-00140,aegis-endpoint,subscription,250,42,10500,2024-09-01,2025-09-01,annual,expired,fulfilled,complete,INV-10005,ORD-2024-0061
ORD-2025-0088,PO-CUST-00171,aegis-endpoint,subscription,300,44,13200,2025-09-01,2026-09-01,annual,active,fulfilled,complete,INV-10006,ORD-2025-0088
ORD-2024-0062,PO-CUST-00141,aegis-mobile,perpetual,250,5,1250,2024-09-01,,one-time,active,fulfilled,complete,INV-10007,ORD-2024-0062
ORD-2023-0050,PO-CUST-00125,argus-xdr,subscription,500,38,19000,2023-11-10,2024-11-10,annual,expired,fulfilled,complete,INV-10008,ORD-2023-0050
ORD-2024-0070,PO-CUST-00150,argus-xdr,subscription,500,40,20000,2024-11-10,2025-11-10,annual,expired,fulfilled,complete,INV-10009,ORD-2024-0070
ORD-2025-0095,PO-CUST-00178,argus-xdr,subscription,600,42,25200,2025-11-10,2026-11-10,annual,active,fulfilled,complete,INV-10010,ORD-2025-0095
ORD-2025-0096,PO-CUST-00179,argus-forensics,subscription,1,8000,8000,2025-11-10,2026-11-10,annual,active,fulfilled,complete,INV-10011,ORD-2025-0096
ORD-2024-0075,PO-CUST-00155,meridian-sase,subscription,400,22,8800,2024-05-20,2025-05-20,annual,expired,fulfilled,complete,INV-10012,ORD-2024-0075
ORD-2025-0100,PO-CUST-00182,meridian-sase,subscription,450,23,10350,2025-05-20,2026-05-20,annual,expired,fulfilled,complete,INV-10013,ORD-2025-0100
ORD-2026-0104,PO-CUST-00190,meridian-sase,subscription,450,24,10800,2026-05-20,2027-05-20,annual,active,fulfilled,complete,INV-10014,ORD-2026-0104
ORD-2024-0076,PO-CUST-00156,meridian-client,perpetual,450,0,0,2024-05-20,,one-time,active,fulfilled,complete,INV-10015,ORD-2024-0076
ORD-2023-0055,PO-CUST-00130,bastion-siem,perpetual,2,4200,8400,2023-02-18,,one-time,active,fulfilled,complete,INV-10016,ORD-2023-0055
ORD-2024-0080,PO-CUST-00160,sentinel-mail,subscription,300,18,5400,2024-12-05,2025-12-05,annual,expired,fulfilled,complete,INV-10017,ORD-2024-0080
ORD-2025-0105,PO-CUST-00191,sentinel-mail,subscription,320,19,6080,2025-12-05,2026-12-05,annual,active,fulfilled,complete,INV-10018,ORD-2025-0105
ORD-2025-0106,PO-CUST-00192,sentinel-archive,subscription,320,6,1920,2025-12-05,2026-12-05,annual,active,fulfilled,complete,INV-10019,ORD-2025-0106
ORD-2025-0110,PO-CUST-00198,cloudwarden-cspm,subscription,1,15600,15600,2025-08-22,2026-08-22,annual,pending-renewal,fulfilled,complete,INV-10020,ORD-2025-0110
ORD-2022-0035,PO-CUST-00105,irongate-vpn500,hardware,3,5400,16200,2022-07-30,,one-time,active,fulfilled,complete,INV-10021,ORD-2022-0035
ORD-2026-0112,PO-CUST-00201,vantage-feed,subscription,1,24000,24000,2026-01-15,2027-01-15,annual,active,fulfilled,complete,INV-10022,ORD-2026-0112
ORD-2023-0040,PO-CUST-00112,aegis-endpoint,subscription,50,42,2100,2023-09-01,2024-09-01,annual,cancelled,cancelled,not-started,INV-10023,ORD-2023-0040
ORD-2026-0115,PO-CUST-00205,sentinel-mail,subscription,40,19,760,2026-07-20,2026-09-20,annual,pending-renewal,fulfilled,complete,INV-10024,ORD-2026-0115
